config,iops,p99_us
bfq_low_latency_0,124.619193,24510.464
bfq_low_latency_1,147.777833,22151.168
bfq_slice_idle_0,100.174956,23461.888
bfq_slice_idle_16,79.788032,127401.984
bfq_slice_idle_4,58.67037,23461.888
bfq_slice_idle_8,117.911118,23724.032
bfq_timeout_sync_124,109.444528,28704.768
bfq_timeout_sync_250,72.901655,60030.976
bfq_timeout_sync_64,111.841778,22937.6
kyber_read_lat_0ms,52.167092,147849.216
kyber_read_lat_1ms,55.56666,111673.344
kyber_read_lat_2ms,65.789474,217055.232
kyber_read_lat_4ms,69.3429,82313.216
kyber_write_lat_100ms,68.259386,99090.432
kyber_write_lat_10ms,63.006426,103284.736
kyber_write_lat_2ms,71.524966,98041.856
mqd_read_expire_100ms,61.150363,316669.952
mqd_read_expire_2000ms,75.771936,164626.432
mqd_read_expire_500ms,64.227842,223346.688
mqd_write_expire_10000ms,120.467721,55312.384
mqd_write_expire_1000ms,87.129981,120061.952
mqd_write_expire_5000ms,70.551228,217055.232
mqd_writes_starved_1,95.159598,44302.336
mqd_writes_starved_2,100.019393,26869.76
mqd_writes_starved_4,102.874508,52166.656
